"该条微博的发主昵称","发送时间","微博点赞数","微博转发数","微博评论数","微博内容"
"诗意半微凉38413","09月06日 20:35 来自荣耀8青春版 颜值担当","2395","728","173","【奇葩帖】因为停电放学，然后电又突然来了是什么体验…哈哈哈哈哈这个画面感，好怀念… ​​​​​​​​[笑cry]#搞笑幽默# ​​​"
"诗意半微凉38413","09月06日 06:43 来自荣耀8青春版 颜值担当","42","12","3","#亚洲好书榜# “最后一次，我接到小磊的电话。他的声线颤抖又急迫，周边混杂着噪声和哭喊。他说，我爱你。”她和他都只是小人物，也只盼望小爱情，却被一场大事件击溃......普通人的生活也绝非淡如白水，你的心情会随着故事跌宕起伏。 暴乱中消失的我的男人 ​​​"
"诗意半微凉38413","09月05日 23:12 来自荣耀8青春版 颜值担当","1124","1629","1140","《#散落星河的记忆#2：窃梦》今日起正式全网预售，大家久等了。小福利：转发本条微博，随机抽取5位赠周边福袋。【预订通道 ↓ 】当当：http://t.cn/RN8QgEX京东：http://t.cn/RN8QgES亚马逊：http://t.cn/RNQO1v7博库：【赠人设卡贴2张+随书书签】正版预定 散落星河的记忆2：窃梦 桐华言情新作 散落星河的记忆微博图书： 【正版预售】散落星河的记忆2：窃梦 桐华 DFH “散落星河的记忆”系列第二部 步步惊心 大漠 ​​​"
"诗意半微凉38413","09月04日 19:49 来自荣耀8青春版 颜值担当","159","106","18","#亚洲好书榜# 女人似乎对稳定有着天然的好感，但稳定就意味着停滞不前吗？答案是否定的。仔细想一想，你现在的稳定又建立在谁的动荡之上？ 你追求稳定，也许最后只能稳定地穷着 ​​​"
"诗意半微凉38413","09月04日 11:12 来自荣耀8青春版 颜值担当","4393","555","1471","【周杰伦演唱会歌迷现场求婚：9年了 我想和你走下去[心]】“刚才你唱《告白气球》时，他向我求婚了！我们从高中一直到现在，9年了！”2日，济南奥体中心，周杰伦演唱会，歌迷现场求婚。现场歌迷告诉@北京时间 ，周杰伦点歌时问女孩为什么有手里有花，女孩说刚刚男朋友向他求婚了。时间视频的秒拍视频  ​​​ 全文"
"诗意半微凉38413","09月03日 22:23 来自荣耀8青春版 颜值担当","36776","8463","2881","【暖哭了！这大概就是天使的样子吧[心]】看到小宝宝在哭闹，没有手的小男孩很努力地把奶嘴拿起，送到弟弟嘴里安抚他。别哭啦，有哥哥在！命运不公平，可你依然像个小天使[泪]@人人视频人民日报的秒拍视频 ​​​"
"诗意半微凉38413","09月03日 21:38 来自荣耀8青春版 颜值担当","0","0","0","#带着微博去旅行#这是我的旅行美照～喜欢的小伙伴快来点赞吧！ ​​​"
"诗意半微凉38413","09月02日 09:50 来自荣耀8青春版 颜值担当","862","278","89","婚姻当然不是爱情的坟墓，就像多年朝夕相处的岁月，斜躺在沙发上突然同他讲起某件事，你知道不会有人像他那样，瞬间会意地大笑，眼睛闪着光，温情地看了你一眼，然后你听到他说：是啊，十二年前的事情了。 ​​​"
"诗意半微凉38413","09月01日 10:01 来自荣耀8青春版 颜值担当","866","1138","151","【值得收藏！睡眠专家教你“快速入睡”的8个秘诀】有调查显示，我国10岁至45岁的人群中，76%受访者表示入睡困难，一觉睡到天亮的只有11%，“睡个好觉”已经成为青年人的奢望。你的睡眠质量合格吗？怎样才能快速入眠？打鼾、多梦、磨牙等应该怎么解决？……实用安眠指南↓↓@人民日报 ​​​​"
"诗意半微凉38413","08月27日 06:47 来自微博 weibo.com","0","0","0","我免费围观了 @苏芩 的回答，问题价值 9.90 元，快来一起免费围观~ 微博问答:苏岑姐，有个问题要问你。很多女的玩够了通常就会找个老实人嫁了。用身体享受了光鲜奢侈的生活，安定后又能享受平淡的爱情，这对老老实实谈恋爱的女孩来说是否会不公平？那 ​​​"
"诗意半微凉38413","08月26日 21:14 来自荣耀8青春版 颜值担当","37133","43530","3034","【果断收藏！100种鲜花的花语，后天七夕，送花就用它！】花有“花语”，不同的花代表不同的含义。送花、赏花，懂花语，表达的情感甚于言语。玫瑰花、百合花、郁金香、康乃馨、满天星、勿忘我…各种常见的鲜花都是什么意思？送花的朵数又代表什么含义？戳图对照↓↓七夕快到了，收藏学习！ ​​​​"
"千千看客心","10月18日 22:44 来自三星GALAXY A","730","1067","159","#考虫考研政治# 【必考会议报告考点思维导图】本次会议修改了中国的社会主要矛盾，提出很多新理念，今年考研政治必考！报告内容太长，下面是萌酱为大家做的简单的考点思维导图，方便大家理解记忆！[跪了][跪了] ​​​​"
"千千看客心","10月17日 22:11 来自三星GALAXY A","2941","2699","489","发布了头条文章：《贩毒30吨的毒枭，与贪污5亿的警察：《追龙》背后的真实香港历史》 甄子丹扮演的跛豪，与刘德华扮演的雷洛，都是历史上的真实人物。这二位香港曾经的枭雄，要把他们的故事讲完，100分钟的电影怎么可能？拍八十集电视剧还差不多。所以电影里做了简化。今天，和大家聊聊历史  ​​​ 全文"
"千千看客心","10月10日 21:33 来自三星GALAXY A","647","819","199","欧美电影圈过年了！[鼓掌]目前10月+11月内地定档的大片：10.20《全球风暴》10.20《王牌特工2：黄金圈》10.27《银翼杀手2049》11.3《雷神3：诸神黄昏》11.10《东方快车谋杀案》11.17《正义联盟》大家约起来！！！[抓狂] ​​​​"
"千千看客心","09月22日 21:45 来自三星GALAXY A","0","0","0","真是对帅大叔毫无抵抗力。虽然我也喜欢吴磊这种小鲜肉。但此喜欢非彼喜欢 ​​​"
"千千看客心","09月15日 20:32 来自三星GALAXY A","1576","1413","105","【  眼前转红运…  】 ​​​"
"千千看客心","09月15日 08:51 来自miyijia测试君","2","0","2","2017，秦祯秋的对象最有可能出现在：http://t.cn/RaNMXe8 ​​​"
"千千看客心","09月14日 16:33 来自三星GALAXY A","27851","24695","4335","#幕星周刊广告部# 和小果粒君的合作。 ​​​"
"千千看客心","09月11日 10:57 来自三星GALAXY A","389","1015","253","这条微博迅速被新浪屏蔽了…… ​​​"
"千千看客心","09月11日 10:48 来自三星GALAXY A","5","5","2","【班农明日将在香港讲民粹主义】美国《华盛顿观察家报》10日报道称，白宫前首席战略分析师班农将于12日参加由里昂证券有限公司在香港主办的投资者论坛，并发表题为“美国经济民族主义、民粹主义反抗与亚洲”的主题演讲。据悉，班农将在演讲中释放民族主义信号，呼吁美国对华实施更严苛政策。 ​​​"
"千千看客心","09月08日 15:24 来自三星GALAXY A","48812","56728","9365","刚刚得知，动画艺术家陆青老师于9月6日早晨7时许突发脑溢血去世，享年89岁。陆青老师曾在《大闹天宫》《哪吒闹海》《雪孩子》《鹿铃》《天书奇谭》《三毛流浪记》等动画片中担任主要原画。2013年开始，陆青老师对我们的工作给予了很大支持。2014年，我们为陆青老师留下了生前最后的口述影像[泪] ​​​"
"千千看客心","09月08日 15:16 来自三星GALAXY A","62094","109214","71141","西游记中师徒四人是一个非常火爆的男团，在抵达大雷音寺的时候如来佛祖说只有三个人能够成佛。假设大家都是这个男团的粉丝并且都有自己最喜欢单独的爱豆，会说什么样的话来为自己的爱豆打call呢？请开始作答。 ​​​"
"千千看客心","09月08日 14:22 来自三星GALAXY A","0","0","0","忽然就。有点粉薛之谦 ​​​"
"千千看客心","03月25日 22:25 来自三星GALAXY A","1","0","0","爱何辜 ​​​"
"千千看客心","02月24日 11:11 来自三星GALAXY A","37","269","25","#关注▪就业#【2017职业资格考试时间表，让你升职加薪！】日前，国家已先后取消了434个职业资格许可和认定事项。那么还有哪些含金量较高的职业资格可以考？现在备考还来得及吗？2017年55项考试时间表↓↓ 转存，加油！ ​​​"
"千千看客心","01月26日 14:02 来自三星GALAXY A","197","1112","58","立花慎之介老师为了卖电脑拼了 ​​​"
"千千看客心","01月23日 21:10 来自三星GALAXY A","3132","733","166","其实睡觉才是人类的正常状态，醒来的唯一理由只是为了给做梦寻找素材。——Mohayat ​​​"
"千千看客心","01月04日 17:24 来自三星GALAXY A","533","447","138","推主TwinCosplay 出的海贼王鹰眼米霍克，天哪，帅炸裂！|ω･`) ​​​"
"千千看客心","01月04日 17:20 来自三星GALAXY A","1266","1299","621","#赤道爱分享# 一个敏感肌的年度爱用总结虽然新历已经到了2017年但是好在农历的新年还没过[笑cry]同时敏感肌的宝宝快来快来这里面有没有你们爱用的呢？转发+关注抽五名宝宝送年度爱用CeraVe大礼包[坏笑] ​​​"
"千千看客心","01月02日 21:47 来自三星GALAXY A","1395","549","679","你以为他看起来是个谦谦君子，到最后发现内里其实都一样……——tyranousor tixiang 译 ​​​"
"千千看客心","01月02日 21:38 来自三星GALAXY A","17","14","3","你们的银桑老公，携神乐、新八一起祝你们新年好！万事屋的新年口号是...要成为海贼王！！[笑cry]秒拍视频 ​​​"
"千千看客心","2016-12-05 16:29:14 来自三星GALAXY A","21149","31607","7534","最近画的脑洞漫画~只希望能让你们内心一暖~~[心][心][心] ​​​"
"千千看客心","2016-12-03 08:11:07 来自三星GALAXY A","183","161","1345","“睡过的所有女孩子都是A-cup，包括现女友，好想摸摸D-cup的是什么感觉” ​​​"
"千千看客心","2016-10-17 15:24:38 来自三星GALAXY A","857","141","168","光棍节前想要追我朋友的 你私聊我 ​​​"
"千千看客心","2016-10-04 17:46:49 来自三星GALAXY A","1683","1899","488","分享图片 ​​​"
"千千看客心","2016-05-12 18:26:31 来自三星GALAXY A","68","378","17","【BBC：提灯女神-弗洛伦斯·南丁格尔】这部剧情式传纪片讲述了英国历史上最伟大的女英雄之一——弗洛伦斯·南丁格尔在克里米亚战争前线救死扶伤，当时伤病员死亡率高达50%。南丁格尔潜心改造病室的卫生条件，并加强护理，增加营养。半年之后，伤病员死亡率下降到2.2％。[话筒]在线：http://t.cn/h6MqSf ​​​"
"千千看客心","2016-03-21 16:48:52 来自三星GALAXY A","12","14","1","画师黒木歩插画作品 更多无水印美图关注 @冲田总司 ​​​"
"千千看客心","2016-03-12 20:11:13 来自三星GALAXY A","123","484","103","【转发抽奖】简单粗暴！#转发本条微博# +关注@木棉花EMUSE & @无头骑士异闻录官网 ，即有机会在白色情人节当天获得木棉花正版#无头骑士异闻录# 情人节大礼包一份。临也&静雄牵手送上为你准备的白色情人节[礼物][礼物]！你，对就是你，想要么？[爱你][爱你][爱你] ​​​"
"千千看客心","2016-03-10 19:53:01 来自三星GALAXY A","1","0","3","第四次发这张图，不开心时看一眼都要笑的不行了 ​​​"
"千千看客心","2016-03-09 20:21:02 来自三星GALAXY A","287","351","187","这两天撸的一些智障漫画日常....[微笑][微笑][拜拜] ​​​"
"千千看客心","2016-03-03 16:22:55 来自三星GALAXY A","20489","24774","6537","岛国各位动漫大师的工作环境，大家感受一下……想给空知猩猩买把椅子[笑cry] ​​​"
"千千看客心","2016-02-28 17:42:32 来自哔哩哔哩移动客户端","0","0","0","亚人 #哔哩哔哩动画# 新剧情终于开始了，等了好久#亚人# http://t.cn/R4jomW2 ​​​"
"千千看客心","2016-02-27 20:40:17 来自三星GALAXY A","4030","12258","1067","加上了佐助自己戳自己额头的那一幕……补刀专用#GIF# 不用谢[口罩] ​​​"
"千千看客心","2016-02-26 11:56:14 来自三星GALAXY A","0","0","0","Emily#封面闹着玩系列# ​​​"
"千千看客心","2016-02-24 22:28:29 来自三星GALAXY A","38","51","43","二次元的哥哥，如果只能选一个，你会选谁呢？[喵喵][喵喵] @火影忍者微吧 @叛逆的鲁鲁修微吧 @全职猎人微吧 @犬夜叉微吧 ​​​"
"千千看客心","2016-02-12 18:50:33 来自三星GALAXY A","1547","171","145","总有人爱说微博的不是，但至少你得承认，自从有了微博，连公共厕所的墙壁都干净了好多。 ——LANDEYves tixiang译 ​​​"
"千千看客心","2016-01-17 10:59:03 来自三星GALAXY A","4828","13758","5","#火影忍者# #鹿鞠# 补了剧场版The last day，凑个9张~ 奈良小夫妻[哆啦A梦微笑][哆啦A梦微笑] ​​​"
"千千看客心","2016-01-16 19:25:25 来自哔哩哔哩移动客户端","0","0","0","亚人 #哔哩哔哩动画# 激动的不行。。。虽然估计前面几集应该和剧场版一样。。但是还是要去看。。。感谢up主 http://t.cn/R4jomW2 ​​​"
"千千看客心","2015-12-21 11:23:21 来自三星GALAXY A","泪","4831","682","#火影忍者# 天真岁月不忍欺，青春荒唐我不负你。剪得好赞[泪] UP主：萧容与 秒拍视频 ​​​"
"千千看客心","2015-12-20 09:03:39 来自三星GALAXY A","16120","14487","4201","1984-2015 三十多年间约翰尼德普的银幕造型变化 [via MOVIEPILOT] ​​​"
"千千看客心","2015-12-18 10:20:27 来自哔哩哔哩移动客户端","1","0","0","吼吼#霍比特人#【魔戒/霍比特人】【密林父子亲情向】【cpAL/ET】瑟兰迪尔的回忆录 UP主: 萧岐 #哔哩哔哩动画# 【魔戒/霍比特人】【密林父子亲情向】【cpAL/ET】瑟兰迪尔的回忆录 ​​​"
"姚山35515","今天 14:27 来自华为麦芒4","0","0","0","[允悲][允悲]不仔细看以为是洽洽，这也能山寨，厉害了 深圳·西乡街区 ​​​"
